Age,Males,Females,Both
18,0.000966302,0.000380254,0.00068039
19,0.001079108,0.000417346,0.000756027
20,0.001191966,0.000455546,0.000832104
21,0.001308405,0.000496684,0.000911422
22,0.00142,0.000539578,0.000989281
23,0.001528455,0.000585798,0.001067455
24,0.001637149,0.000636425,0.001148144
25,0.001745648,0.000690332,0.001230536
26,0.001856918,0.000747861,0.001316009
27,0.001974159,0.000810079,0.001406352
28,0.002095371,0.00087492,0.001499242
29,0.00221491,0.000939799,0.001590711
30,0.002333427,0.001005098,0.001681553
31,0.00244593,0.001070401,0.00176948
32,0.002545739,0.001134761,0.001850923
33,0.002632424,0.001199993,0.001926818
34,0.002712741,0.001268837,0.002001765
35,0.002793904,0.001342605,0.002079737
36,0.00288293,0.001422102,0.002164316
37,0.002982677,0.001508125,0.002257238
38,0.003095735,0.001599857,0.002359225
39,0.003220178,0.001696289,0.002468903
40,0.003362059,0.001803631,0.002592705
41,0.003513308,0.001918074,0.002724811
42,0.003661336,0.002030419,0.002854149
43,0.00380451,0.002140173,0.002979648
44,0.003957078,0.002256279,0.00311294
45,0.004139641,0.002392728,0.003271085
46,0.004368377,0.002557091,0.003466227
47,0.004640426,0.002743482,0.003694657
48,0.004948382,0.002945562,0.003949934
49,0.005283091,0.003160353,0.004225716
50,0.005632309,0.003386371,0.004514761
51,0.006016441,0.003636942,0.00483309
52,0.006467906,0.003927299,0.005203813
53,0.007014269,0.004271997,0.005647219
54,0.007654181,0.004670203,0.006162175
55,0.008336618,0.005092429,0.006708932
56,0.009055172,0.005539206,0.007285333
57,0.009857067,0.006041303,0.007930371
58,0.010736281,0.006598092,0.008641274
59,0.011661053,0.007189874,0.009392217
60,0.012616169,0.007811635,0.010172768
61,0.01357931,0.008442281,0.010960296
62,0.014541718,0.009065242,0.011741255
63,0.015518367,0.009684291,0.012523767
64,0.016544744,0.010329498,0.013340291
65,0.017652426,0.011023567,0.014218278
66,0.018999022,0.011864908,0.015279613
67,0.020295475,0.012724833,0.016329443
68,0.021721566,0.013748157,0.017523877
69,0.023220206,0.014904808,0.018824143
70,0.024717949,0.016151361,0.020178918
71,0.02652646,0.017479315,0.021711178
72,0.028547669,0.019142734,0.023520652
73,0.030912988,0.021044796,0.025617793
74,0.033684697,0.023346072,0.028122082
75,0.036360443,0.025436068,0.030466774
76,0.040717855,0.028950354,0.034339193
77,0.044119917,0.031753603,0.03738004
78,0.04891032,0.03541176,0.041499712
79,0.053257484,0.03877354,0.045247048
80,0.059834126,0.043717597,0.050833046
81,0.066213176,0.048564468,0.056254033
82,0.073590033,0.054103658,0.062470701
83,0.081530854,0.060688522,0.069525532
84,0.089758247,0.067641675,0.07686872
85,0.100216031,0.076212317,0.086053856
86,0.110609025,0.083732925,0.094544515
87,0.123952217,0.094759271,0.106195278
88,0.138504133,0.106971167,0.118983179
89,0.15427877,0.120425463,0.132945716
90,0.171267435,0.135163307,0.148103654
91,0.189435199,0.151205525,0.164457321
92,0.20871824,0.168547958,0.181983039
93,0.22902213,0.187157288,0.200630307
94,0.250221997,0.206967548,0.220319748
95,0.272163838,0.227878183,0.240942478
96,0.294668347,0.249753654,0.262360901
97,0.317535877,0.272425354,0.284411341
98,0.340553433,0.295695394,0.30690825
99,0.363502294,0.31934309,0.329650015
100,1,1,1
